,date_crawled,name,price,ab_test,vehicle_type,registration_year,gear_box,power_ps,model,odometer_km,registration_month,fuel_type,brand,unrepaired_damage,ad_created,postal_code,last_seen,odometer_km_group
0,2016-07-03 23:56:00,BMW_116i_TÜV_neu!_Einparkhilfe__Sitzheizung,6950.0,test,limousine,2007.0,Manual,116.0,1er,125000,2.0,petrol,bmw,No,2016-07-03,24837.0,2016-11-03 14:46:00,"150,000 Km"
1,2016-03-25 18:49:00,Volkswagen_Golf_Cabrio_1.9_TDI,3990.0,test,cabrio,2001.0,Manual,90.0,golf,150000,4.0,diesel,volkswagen,No,2016-03-25,37081.0,2016-01-04 03:46:00,"150,000 Km"
2,2016-07-03 23:54:00,Polo_GTI_DSG,12900.0,test,kleinwagen,2011.0,Automatic,0.0,polo,60000,8.0,unknown,volkswagen,UnKnown,2016-07-03,94474.0,2016-05-04 13:47:00,"100,000 Km"
3,2016-10-03 19:56:00,Volkswagen_Golf_1.6_Edition,2100.0,control,limousine,2000.0,Manual,137.0,golf,150000,4.0,petrol,volkswagen,No,2016-10-03,88499.0,2016-02-04 08:18:00,"150,000 Km"
5,2016-01-04 13:50:00,Mercedes_Benz_S_500_AMG_LPG,18000.0,control,limousine,2005.0,Automatic,387.0,s_klasse,150000,10.0,lpg,mercedes_benz,No,2016-01-04,65197.0,2016-02-04 22:29:00,"150,000 Km"
6,2016-07-03 23:52:00,Audi_A6_Avant_2.7_TDI_DPF,6900.0,test,kombi,2005.0,Manual,179.0,a6,150000,11.0,diesel,audi,No,2016-07-03,68309.0,2016-06-04 22:15:00,"150,000 Km"
7,2016-05-03 20:53:00,Seat_Arosa_1.0_TÜV_bis_11/2016,590.0,control,UnKnown,2000.0,UnKnown,0.0,arosa,150000,0.0,unknown,seat,UnKnown,2016-05-03,9427.0,2016-12-03 17:17:00,"150,000 Km"
8,2016-08-03 18:53:00,Toyota_Aventis_D4_Diesel,1200.0,test,kombi,2002.0,Manual,110.0,avensis,150000,0.0,unknown,toyota,Yes,2016-08-03,21037.0,2016-12-03 19:19:00,"150,000 Km"
9,2016-03-23 16:45:00,Audi_A7_3.0_TDI_quattro_S_Line_V8_Sound!!,29990.0,test,coupe,2011.0,Automatic,245.0,andere,150000,8.0,diesel,audi,No,2016-03-23,17033.0,2016-05-04 20:16:00,"150,000 Km"
10,2016-02-04 10:38:00,Audi_A4_Cabriolet_2.0_TDI_DPF_TÜV_NEU_8___FACH_BEREIF,11000.0,test,cabrio,2007.0,Manual,140.0,a4,150000,5.0,diesel,audi,No,2016-02-04,74177.0,2016-06-04 08:15:00,"150,000 Km"
